epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.49454,1.41257,3.34256,1.85485,0.00341,1,0.19244,0.0807,1.30374,3.25487,1.98265,0.00012861,0.00012861,0.00012861
2,3.63753,1.2059,3.03979,1.66306,0.00292,0.88889,0.36395,0.16079,1.35955,3.13506,2.18726,0.000268822,0.000268822,0.000268822
3,4.66226,1.05928,2.6899,1.51585,0.00331,1,0.52571,0.16116,1.65969,3.14967,2.46818,0.000406205,0.000406205,0.000406205
4,5.69827,1.11046,2.4987,1.56402,0.00336,1,0.19649,0.08259,1.32265,3.11552,2.24841,0.000540758,0.000540758,0.000540758
5,6.71253,1.21543,2.38482,1.67176,0.00365,1,0.35257,0.18154,1.48094,2.76036,2.36157,0.000672482,0.000672482,0.000672482
6,7.72721,1.05062,2.23169,1.55684,0.09328,0.77778,0.22998,0.08356,1.88889,2.72682,3.00675,0.000801376,0.000801376,0.000801376
7,8.69935,1.16047,2.24888,1.68544,0.20251,0.27375,0.30628,0.10263,1.97271,2.69954,3.3302,0.000927441,0.000927441,0.000927441
8,9.69428,1.17746,2.20291,1.65909,0.32445,0.55556,0.64773,0.19248,1.7283,2.47085,3.04314,0.00105068,0.00105068,0.00105068
9,10.675,1.29337,2.30473,1.77593,0.52451,0.62835,0.52144,0.21125,1.68247,2.54183,2.73392,0.00117108,0.00117108,0.00117108
10,11.6703,1.08312,2.15988,1.55149,0.49374,0.66667,0.4957,0.15755,2.22366,2.69563,3.59112,0.00128866,0.00128866,0.00128866
11,12.6364,1.12631,2.0131,1.56504,0.7848,0.43031,0.48519,0.14573,2.04545,2.31676,3.2638,0.00128753,0.00128753,0.00128753
12,13.6032,1.08202,2.09318,1.60526,0.76338,0.44444,0.40115,0.14934,1.74568,2.49401,2.91434,0.00127338,0.00127338,0.00127338
13,14.666,1.15324,1.92245,1.61936,0.74408,0.11111,0.08379,0.03127,2.46139,3.66675,3.51343,0.00125923,0.00125923,0.00125923
14,15.7328,1.15208,2.03504,1.5862,0.6254,0.36627,0.4897,0.13785,1.49521,6.46188,2.72671,0.00124509,0.00124509,0.00124509
15,16.8708,1.10206,1.88997,1.55208,0.73252,0.61576,0.67037,0.22411,1.99387,3.41858,3.48765,0.00123094,0.00123094,0.00123094
16,17.852,1.12652,1.98078,1.62485,0.5261,0.72222,0.56847,0.23091,2.03159,2.40628,3.33849,0.00121679,0.00121679,0.00121679
17,18.8297,1.05237,1.92881,1.4501,0.63534,0.5,0.52257,0.19416,1.97902,2.51154,3.34583,0.00120265,0.00120265,0.00120265
18,19.8635,1.09741,1.8692,1.5559,0.66424,0.38889,0.4835,0.20259,1.81938,2.68386,2.95747,0.0011885,0.0011885,0.0011885
19,20.8892,1.0593,1.72957,1.47857,0.54914,0.5,0.46907,0.18827,1.94506,2.67428,3.09176,0.00117435,0.00117435,0.00117435
20,21.8944,1.00045,1.71574,1.4907,0.31352,0.38889,0.34405,0.1467,2.11264,2.55299,3.61094,0.00116021,0.00116021,0.00116021
21,22.915,0.976,1.64264,1.40933,0.34142,0.47362,0.29036,0.09934,2.14595,2.519,3.52179,0.00114606,0.00114606,0.00114606
22,23.8746,0.99517,1.74695,1.46622,0.27051,0.5916,0.41164,0.14508,1.69555,2.88581,2.81767,0.00113191,0.00113191,0.00113191
23,24.8213,1.02839,1.65046,1.4741,0.4667,0.75218,0.56238,0.26456,1.4696,4.36121,2.69866,0.00111776,0.00111776,0.00111776
24,25.7794,1.0312,1.56238,1.47726,0.52342,0.74793,0.60267,0.24235,1.51316,4.70097,2.77927,0.00110362,0.00110362,0.00110362
25,26.7347,1.04117,1.57204,1.46657,0.46822,0.8307,0.75942,0.3848,1.63277,4.15588,2.96299,0.00108947,0.00108947,0.00108947
26,27.716,0.96782,1.58283,1.4085,0.7084,0.66667,0.6931,0.33637,1.54041,2.50584,2.57622,0.00107532,0.00107532,0.00107532
27,28.6723,1.0001,1.65975,1.46485,0.73075,0.5,0.57955,0.34688,1.43871,2.66641,2.4113,0.00106118,0.00106118,0.00106118
